repeat,k,ari
87,6,0.8603313894922613
87,7,0.8791681818353401
87,8,0.6197302755321566
87,9,0.6437565028574875
87,10,0.7315864554395975
88,2,0.8824145678101706
88,3,0.8700873722257709
88,4,0.8456868932919945
88,5,0.763037457118298
88,6,0.8190412231269785
88,7,0.815941630835479
88,8,0.6931550908025462
88,9,0.6371376636986981
88,10,0.7230687690473036
89,2,0.7721426378272603
89,3,0.7784699426612661
89,4,0.5638055306411351
89,5,0.7910825483594784
89,6,0.7984069126542601
89,7,0.6451998993532768
89,8,0.7384584485687468
89,9,0.6613966897634507
89,10,0.7124683259349663
90,2,0.4573948788216151
90,3,0.8768806183399009
90,4,0.8773259075517225
90,5,0.8719713570551195
90,6,0.7816129132855498
90,7,0.5963546381797332
90,8,0.6628181903440923
90,9,0.6913667861288672
90,10,0.836323935973516
91,2,0.45717386738651833
91,3,0.4936991765090171
91,4,0.645856182062347
91,5,0.6563971768509674
91,6,0.6817525430765061
91,7,0.744352370379003
91,8,0.5303210071303748
91,9,0.5274933147261559
91,10,0.6461654708823854
92,2,0.2631919632692772
92,3,0.6987924946769364
92,4,0.6131286483211302
92,5,0.7487246997982295
92,6,0.8306494026188646
92,7,0.8310642595085251
92,8,0.6913605280099763
92,9,0.7127626105498654
92,10,0.7005072355661645
93,2,0.8448387581811067
93,3,0.8032948376136663
93,4,0.8186359896074242
93,5,0.8053718841551573
93,6,0.8353463687498832
93,7,0.8488389922341781
93,8,0.6486663619918678
93,9,0.6241547039981018
93,10,0.7032797131484588
94,2,0.9599967086364498
94,3,0.9493495596651955
94,4,0.9476091329966589
94,5,0.9552167427197574
94,6,0.9519339620206394
94,7,0.877931493674632
94,8,0.7058911349317727
94,9,0.6372981899575374
94,10,0.7274471559626556
95,2,0.45727589503222427
95,3,0.5431173960858375
95,4,0.6389824589417588
95,5,0.7855069525332627
95,6,0.6745201540541406
95,7,0.6523471943993125
95,8,0.6499591741395937
95,9,0.6505243770224642
95,10,0.641583339756571
96,2,0.4304144935492726
96,3,0.8700873722257709
96,4,0.8302393734330921
96,5,0.8324909205072417
96,6,0.8265248726534861
96,7,0.8305018290746411
96,8,0.7068322824511545
96,9,0.6775441620376466
96,10,0.761562024002812
97,2,0.8080650161849864
97,3,0.8182949624818923
97,4,0.842046567553928
97,5,0.833388782633325
97,6,0.846868052604629
97,7,0.8606912731845412
97,8,0.6153046018535833
97,9,0.6395214684644506
97,10,0.7215911207121308
98,2,0.4042525710779961
98,3,0.904666922415063
98,4,0.8953212800979279
98,5,0.8296761803679715
98,6,0.8881140131079392
98,7,0.8842609090329381
98,8,0.685589690241351
98,9,0.6167972826420577
98,10,0.6934896403479092
99,2,0.4850885562017733
99,3,0.5164637596367609
99,4,0.6270879238971719
99,5,0.7443246984980217
99,6,0.7978413816626191
99,7,0.8146574953994301
99,8,0.5661520489607612
99,9,0.5811918067111248
99,10,0.666546743417546
100,2,0.2236482808306714
100,3,0.6647774878602388
100,4,0.6971627401834259
100,5,0.6423414398809982
100,6,0.5370728814384563
100,7,0.4504036717620103
100,8,0.5507873786262052
100,9,0.5889348303205696
100,10,0.6696890960868805
101,2,0.4850885562017733
101,3,0.543947169390977
101,4,0.6486093529837312
101,5,0.7853030400222071
101,6,0.8500020562488682
101,7,0.8522779412916728
101,8,0.7707848331325622
101,9,0.7716779563913322
101,10,0.7545805015698899
102,2,0.2035583528230497
102,3,0.47970692756638855
102,4,0.6086161725590399
102,5,0.6776823083400355
102,6,0.7303475311189844
102,7,0.7625658162809564
102,8,0.6494357763088258
102,9,0.649337682008927
102,10,0.6181014292577468
103,2,0.20566239864236086
103,3,0.4686550385554443
103,4,0.7161260670618372
103,5,0.6775310752753217
103,6,0.6892702210788172
103,7,0.7056255313042326
103,8,0.4095579890586743
103,9,0.47057950954682115
103,10,0.5931331079897589
104,2,0.8448387581811067
104,3,0.8217963119584561
104,4,0.574480612578346
104,5,0.7805920822854533
104,6,0.8369519637598103
104,7,0.8483696833424638
104,8,0.6739828548379984
104,9,0.6279039936442651
104,10,0.7084694815520561
105,2,0.3538998750383622
105,3,0.7445932050525371
105,4,0.7677340751348892
105,5,0.6953947942789733
105,6,0.7744829923443515
105,7,0.7858746452423647
105,8,0.7018845006242216
105,9,0.6721050629600619
105,10,0.7555214988489275
106,2,0.5139162456110302
106,3,0.5885370853610045
106,4,0.687454963769089
106,5,0.7901687753255066
106,6,0.8559540813743896
106,7,0.8739977090492554
106,8,0.7107788853580479
106,9,0.6847705553271284
106,10,0.7778291822318586
107,2,0.30720953278116936
107,3,0.7975173618091895
107,4,0.8180941846628752
107,5,0.7564182277320236
107,6,0.8292713343016898
107,7,0.8307528830668993
107,8,0.6537423225441269
107,9,0.6450621815547062
107,10,0.7263300360249189
108,2,0.5139162456110302
108,3,0.5371755714464883
108,4,0.6369462640354338
108,5,0.7581038327887558
108,6,0.8039543835321682
108,7,0.8565685102683908
108,8,0.6234147857901059
108,9,0.6698482490152285
108,10,0.7605077747458223
109,2,0.2426467888223846
109,3,0.576130804290517
109,4,0.6748409702780694
109,5,0.690026857637882
109,6,0.6444743775611255
109,7,0.7226615096828998
109,8,0.543375535405363
109,9,0.5125716237729696
109,10,0.5990426810620124
110,2,0.5137182562004227
110,3,0.5676242543022676
110,4,0.7147994800413363
110,5,0.6944423449503941
110,6,0.6861957165812346
110,7,0.5604402308527643
110,8,0.49200954160803
110,9,0.4898457065187627
110,10,0.5010444965330562
111,2,0.45727589503222427
111,3,0.30249753148237407
111,4,0.638819858292103
111,5,0.7347821437836602
111,6,0.7969224398170057
111,7,0.8130230304235188
111,8,0.5872918646555152
111,9,0.6269835618351399
111,10,0.6260334551047876
112,2,0.06284858553158974
112,3,0.45676057812396736
112,4,0.4433586435356119
112,5,0.5759154031167889
112,6,0.6086986394646612
112,7,0.6462736991989879
112,8,0.5689528276130501
112,9,0.5226374777496499
112,10,0.5947071047533999
113,2,0.9599960816486464
113,3,0.9241294960515124
113,4,0.9033760586016616
113,5,0.9146087815234629
113,6,0.9153088552681818
113,7,0.9194894144556619
113,8,0.7196693014385521
113,9,0.6748939300398009
113,10,0.7594520216123106
114,2,0.9599960816486464
114,3,0.9241294960515124
114,4,0.8942194248345315
114,5,0.8195380927534496
114,6,0.7132207849155887
114,7,0.684851705911418
114,8,0.8406949634525747
114,9,0.732852614015775
114,10,0.8307777070200419
115,2,0.20566239864236086
115,3,0.44029582710109555
115,4,0.7779345002352909
115,5,0.7386336713297934
115,6,0.7540950154851332
115,7,0.5584963314126531
115,8,0.47904646770967035
